index,commission,entrust_action,entrust_no,fill_date,fill_no,fill_price,fill_size,fill_time,symbol,task_id
207,0.0,Sell,193,20170502,201705020203,11.93,200.0,143000,600365.SH,201705020005
208,0.0,Buy,192,20170502,201705020204,10.37,800.0,143000,000848.SZ,201705020005
209,0.0,Buy,234,20170502,201705020205,25.74,100.0,143000,603779.SH,201705020005
210,0.0,Sell,212,20170502,201705020206,19.13,418.690043805,143000,002695.SZ,201705020005
211,0.0,Sell,230,20170502,201705020207,32.0,1200.0,143000,600600.SH,201705020005
212,0.0,Sell,231,20170502,201705020208,78.58,100.0,143000,002304.SZ,201705020005
213,0.0,Buy,232,20170502,201705020209,10.0,900.0,143000,600090.SH,201705020005
214,0.0,Buy,213,20170502,201705020210,31.0,200.0,143000,600809.SH,201705020005
215,0.0,Buy,224,20170502,201705020211,7.22,400.0,143000,002481.SZ,201705020005
216,0.0,Sell,189,20170502,201705020212,412.22,300.0,143000,600519.SH,201705020005
217,0.0,Buy,201,20170502,201705020213,37.4,200.0,143000,603027.SH,201705020005
218,0.0,Buy,200,20170502,201705020214,21.33,3500.0,143000,000895.SZ,201705020005
219,0.0,Buy,203,20170502,201705020215,11.7,100.0,143000,600616.SH,201705020005
220,0.0,Buy,202,20170502,201705020216,19.69,400.0,143000,000799.SZ,201705020005
221,0.0,Buy,205,20170502,201705020217,8.21,400.0,143000,600199.SH,201705020005
222,0.0,Buy,204,20170502,201705020218,22.48,1800.0,143000,002726.SZ,201705020005
223,0.0,Buy,207,20170502,201705020219,20.2,600.0,143000,000860.SZ,201705020005
224,0.0,Buy,206,20170502,201705020220,16.54,600.0,143000,603020.SH,201705020005
225,0.0,Sell,209,20170502,201705020221,18.46,9300.0,143000,600887.SH,201705020005
226,0.0,Buy,208,20170502,201705020222,21.49,2500.0,143000,600779.SH,201705020005
227,0.0,Sell,218,20170502,201705020223,9.91,400.0,143000,600238.SH,201705020005
228,0.0,Buy,229,20170502,201705020224,24.31,300.0,143000,600702.SH,201705020005
229,0.0,Sell,228,20170502,201705020225,6.64,3040.82376172,143000,600873.SH,201705020005
230,0.0,Buy,227,20170502,201705020226,44.58,2200.0,143000,000858.SZ,201705020005
231,0.0,Sell,226,20170502,201705020227,33.92,500.0,143000,603589.SH,201705020005
232,0.0,Sell,225,20170502,201705020228,10.89,1960.16367046,143000,300146.SZ,201705020005
233,0.0,Sell,219,20170502,201705020229,25.59,200.0,143000,002582.SZ,201705020005
234,0.0,Sell,223,20170502,201705020230,19.02,1500.0,143000,600197.SH,201705020005
235,0.0,Buy,222,20170502,201705020231,9.91,300.0,143000,600073.SH,201705020005
236,0.0,Buy,221,20170502,201705020232,5.59,900.0,143000,600300.SH,201705020005
237,0.0,Sell,220,20170502,201705020233,8.2,1400.0,143000,600084.SH,201705020005
238,0.0,Buy,233,20170502,201705020234,14.56,800.0,143000,002515.SZ,201705020005
239,0.0,Buy,101010,20170515,101010,0.0,265.496010381,200000,603866.SH,101010
240,0.0,Buy,101010,20170519,101010,0.0,1118.24247035,200000,600597.SH,101010
241,0.0,Buy,101010,20170511,101010,0.0,13981.4375747,200000,000895.SZ,101010
242,0.0,Buy,101010,20170523,101010,0.0,139.373130883,200000,000799.SZ,101010
243,0.0,Buy,101010,20170524,101010,0.0,212.319399396,200000,000860.SZ,101010
244,0.0,Buy,101010,20170509,101010,0.0,14363.6337258,200000,600887.SH,101010
245,0.0,Buy,101010,20170526,101010,0.0,18187.7920053,200000,002582.SZ,101010
246,0.0,Buy,101010,20170504,101010,0.0,388.421241535,200000,600197.SH,101010
247,0.0,Buy,101010,20170512,101010,0.0,5680.17587309,200000,000858.SZ,101010
248,0.0,Buy,101010,20170518,101010,0.0,69.8852781935,200000,600702.SH,101010
249,0.0,Buy,101010,20170522,101010,0.0,25370.3538038,200000,002515.SZ,101010
250,0.0,Buy,275,20170601,201706010235,23.8,830.114721806,143000,600702.SH,201706010006
251,0.0,Buy,265,20170601,201706010236,6.34,4700.0,143000,600084.SH,201706010006
252,0.0,Buy,264,20170601,201706010237,11.07,12.2079947456,143000,002582.SZ,201706010006
253,0.0,Buy,270,20170601,201706010238,11.74,3900.0,143000,300146.SZ,201706010006
254,0.0,Buy,271,20170601,201706010239,35.64,300.0,143000,603589.SH,201706010006
255,0.0,Buy,258,20170601,201706010240,16.05,1800.0,143000,600872.SH,201706010006
256,0.0,Buy,259,20170601,201706010241,9.38,3900.0,143000,002329.SZ,201706010006
257,0.0,Buy,238,20170601,201706010242,9.9,3600.0,143000,000848.SZ,201706010006
258,0.0,Buy,239,20170601,201706010243,8.44,1100.0,143000,600365.SH,201706010006
259,0.0,Buy,276,20170601,201706010244,33.14,1800.0,143000,600600.SH,201706010006
260,0.0,Sell,235,20170601,201706010245,445.34,100.0,143000,600519.SH,201706010006
261,0.0,Buy,252,20170601,201706010246,18.37,1787.6806006,143000,000860.SZ,201706010006
262,0.0,Sell,253,20170601,201706010247,23.5,2400.0,143000,600779.SH,201706010006
263,0.0,Buy,250,20170601,201706010248,18.11,300.0,143000,002726.SZ,201706010006
264,0.0,Buy,251,20170601,201706010249,7.68,100.0,143000,600199.SH,201706010006
265,0.0,Buy,256,20170601,201706010250,14.97,3200.0,143000,002695.SZ,201706010006
266,0.0,Buy,236,20170601,201706010251,16.31,1600.0,143000,002387.SZ,201706010006
267,0.0,Sell,254,20170601,201706010252,19.38,4163.63372582,143000,600887.SH,201706010006
268,0.0,Buy,255,20170601,201706010253,16.93,800.0,143000,002646.SZ,201706010006
269,0.0,Buy,237,20170601,201706010254,16.79,3600.0,143000,002568.SZ,201706010006
270,0.0,Sell,272,20170601,201706010255,48.07,9180.17587309,143000,000858.SZ,201706010006
